article_id,title,citation_authors,citation_date,citation_pages,page_url,pdf_url,local_path,bytes,sha256,retrieved,status
3595,The Kupferschiefer in comparison with the deposits of the Zambian Copperbelt ,J. Rentzsch,1974-01-01,,https://popups.uliege.be/0037-9395/index.php?id=3595,http://bibli-cloud15.segi.ulg.ac.be/0037-9395/index.php?id=3601&file=1&pid=3595,01_data\wp1_data\database\reports\annexA_sources\level3_analogs\liege1974_3595.pdf,2113212,8efb85379bc19467be387efc2ba59c5c7b2e36772ec02a35dc6597adef22b443,2026-09-21 12:26:31,ok
3494,Some aspects of the stratiform ore deposits of the Zambian Copperbelt and their genetic significance ,A.E. Annels,1974-01-01,,https://popups.uliege.be/0037-9395/index.php?id=3494,http://bibli-cloud15.segi.ulg.ac.be/0037-9395/index.php?id=3500&file=1&pid=3494,01_data\wp1_data\database\reports\annexA_sources\level3_analogs\liege1974_3494.pdf,4567237,2c4b8507ddf935e92dce93acfafa7999ba9dd54f1a48dad897b79eb15b1c1dfd,2026-09-21 12:26:34,ok
3462,Geological background to the copper-bearing strata of southern Shaba (Zaïre) ,Lucien Cahen,1974-01-01,,https://popups.uliege.be/0037-9395/index.php?id=3462,http://bibli-cloud15.segi.ulg.ac.be/0037-9395/index.php?id=3464&file=1&pid=3462,01_data\wp1_data\database\reports\annexA_sources\level3_analogs\liege1974_3462.pdf,1706473,b2eeaec65dd92251fafca70c0979f5cebb08f7a357701e7282d008234ac6b08c,2026-09-21 12:26:38,ok
3502,"Les sulfures du gisement cuprifère stratiforme de Musoshi, Shaba, Zaïre ",Jacques Cailteux,1974-01-01,,https://popups.uliege.be/0037-9395/index.php?id=3502,http://bibli-cloud15.segi.ulg.ac.be/0037-9395/index.php?id=3509&file=1&pid=3502,01_data\wp1_data\database\reports\annexA_sources\level3_analogs\liege1974_3502.pdf,1743253,a778eee92e016a70bea80faa948451ed144ccaa3e4cbe5a8c833863acf767f57,2026-09-21 12:26:42,ok
800,Les gisements stratiformes en roche sédimentaire d'Europe centrale (Kupferschiefer) et de la ceinture cuprifère du Zaïre et de Zambie ,J.J. Lefebvre,1989-01-01,,https://popups.uliege.be/0037-9395/index.php?id=800,http://bibli-cloud15.segi.ulg.ac.be/0037-9395/index.php?id=807&file=1&pid=800,01_data\wp1_data\database\reports\annexA_sources\level3_analogs\liege1974_800.pdf,1273652,b4a6b625a726d01a46c0d46c331b342f7af100e1624ea6431db9d96b7874f0d3,2026-09-21 12:26:46,ok
3470,"Minéralisations cupro-cobaltifères associées aux horizons pyroclastiques situés dans le faisceau supérieur de la série de Roan, à Shituru, Shaba, Zaïre ",J.J. Lefebvre,1974-01-01,,https://popups.uliege.be/0037-9395/index.php?id=3470,http://bibli-cloud15.segi.ulg.ac.be/0037-9395/index.php?id=3471&file=1&pid=3470,01_data\wp1_data\database\reports\annexA_sources\level3_analogs\liege1974_3470.pdf,3328626,05af6b6fe503f19466f1f8b4fbdafd7d6418bc4c0b50b8b3fd6cfba9e5459543,2026-09-21 12:26:49,ok
3486,Stratigraphy of copper occurrences in the Zambian Copperbelt ,P.L. Binda; J.R. Mulgrew,1974-01-01,,https://popups.uliege.be/0037-9395/index.php?id=3486,http://bibli-cloud15.segi.ulg.ac.be/0037-9395/index.php?id=3489&file=1&pid=3486,01_data\wp1_data\database\reports\annexA_sources\level3_analogs\liege1974_3486.pdf,1467398,45e404926072d05b877e2feffcb29caa1d5d0c7e9858d416eebbd12be0119cd1,2026-09-21 12:26:53,ok
3498,"Sedimentary geology of a late Precambrian copper deposit at Kitwe, Zambia",,,,https://popups.uliege.be/0037-9395/index.php?id=3498,,,0,,2026-09-21 12:26:56,"FAILED: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'popups.ulg.ac.be'. (_ssl.c:1010)>"
3514,"The copper province of northern Michigan, U.S.A. ",Alexander C. Brown,1974-01-01,,https://popups.uliege.be/0037-9395/index.php?id=3514,http://bibli-cloud15.segi.ulg.ac.be/0037-9395/index.php?id=3516&file=1&pid=3514,01_data\wp1_data\database\reports\annexA_sources\level3_analogs\liege1974_3514.pdf,1939575,600f17435e282e06ade1a9d8ec3f23fd2a9ab722c179ce5978b167169af96050,2026-09-21 12:27:00,ok
3591,A synopsis of Canadian stratiform copper deposits in sedimentary sequences ,R. V. Kirkham,1974-01-01,,https://popups.uliege.be/0037-9395/index.php?id=3591,http://bibli-cloud15.segi.ulg.ac.be/0037-9395/index.php?id=3602&file=1&pid=3591,01_data\wp1_data\database\reports\annexA_sources\level3_analogs\liege1974_3591.pdf,2580693,1f4b26e95e54815897e3ae375d28e17432e89fc027b5a046ab9597ff4d2e2d11,2026-09-21 12:27:05,ok
3593,Permian copper shales of southwestern United States ,Kenneth S. Johnson,1974-01-01,,https://popups.uliege.be/0037-9395/index.php?id=3593,http://bibli-cloud15.segi.ulg.ac.be/0037-9395/index.php?id=3604&file=1&pid=3593,01_data\wp1_data\database\reports\annexA_sources\level3_analogs\liege1974_3593.pdf,1480052,7f8d29d9f08cc64df3d2485e8d90d927d8fd0d4ac4fb1ceb407ae2df6341d4e4,2026-09-21 12:27:09,ok
3597,The gitology of some Adelaidean stratiform copper occurrences ,N. J. Rowlands,1974-01-01,,https://popups.uliege.be/0037-9395/index.php?id=3597,http://bibli-cloud15.segi.ulg.ac.be/0037-9395/index.php?id=3600&file=1&pid=3597,01_data\wp1_data\database\reports\annexA_sources\level3_analogs\liege1974_3597.pdf,641402,df6758ccb65ad8890c7dc22072b4019944afffcbbb2d6622cc9752a0c178a93e,2026-09-21 12:27:12,ok
